WK	Angle	Energy	AL	N	W	SYield+Offset	SYield
56	45.000	160.191	0.641	0.359	0.000	0.386002	0.386002
67	45.000	165.727	0.637	0.363	-0.000	0.40192	0.40192
85	45.000	178.860	0.591	0.409	-0.000	0.483232	0.483232
72	45.000	180.739	0.631	0.369	0.000	0.443572	0.443572
22	45.000	181.624	0.628	0.372	-0.000	0.448885	0.448885
78	45.000	190.282	0.550	0.450	0.000	0.559205	0.559205
64	45.000	192.815	0.619	0.381	0.000	0.485155	0.485155
70	45.000	205.419	0.552	0.448	0.000	0.597991	0.597991
62	45.000	208.420	0.580	0.420	-0.000	0.570246	0.570246
77	45.000	217.124	0.603	0.397	0.000	0.562201	0.562201
3	45.000	224.264	0.579	0.421	0.000	0.610941	0.610941
63	45.000	240.309	0.553	0.447	-0.000	0.686682	0.686682
85	45.000	262.818	0.591	0.409	-0.000	0.677592	0.677592
86	45.000	280.520	0.562	0.438	0.000	0.754123	0.754123
62	45.000	307.054	0.580	0.420	-0.000	0.771669	0.771669
3	45.000	330.704	0.579	0.421	0.000	0.815942	0.815942
71	45.000	334.799	0.541	0.459	-0.000	0.889452	0.889452
78	45.000	369.316	0.550	0.450	0.000	0.93635	0.93635
70	45.000	399.930	0.552	0.448	0.000	0.989995	0.989995
86	45.000	416.084	0.562	0.438	0.000	1.00093	1.00093
63	45.000	469.404	0.553	0.447	-0.000	1.1177	1.1177
78	45.000	548.350	0.550	0.450	0.000	1.23153	1.23153
70	45.000	594.441	0.552	0.448	0.000	1.27721	1.27721
71	45.000	660.218	0.541	0.459	-0.000	1.37843	1.37843
63	45.000	698.499	0.553	0.447	-0.000	1.38809	1.38809
71	45.000	985.637	0.541	0.459	-0.000	1.73635	1.73635
